",""Species"",""Diel_activity"",""Habitat_breadth_IUCN"",""Forest"",""Savanna"",""Shrubland"",""Grassland"",""Wetland"",""Rocky.areas"",""Caves.and.subterranean"",""Desert"",""Marine"",""Marine.intertidal.or.coastal.supratidal"",""Artificial"",""Introduced.vegetation"",""Class"",""Order"",""Family"",""Genus"",""logBM"",""logLongevity"",""logClutchSize"",""Herbivore"",""Omnivore"",""Carnivore"""
"11,""Bufotes boulengeri"",""Other"",2.81507472114689,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""1"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Bufonidae"",""Bufotes"",4.2150679621255,8.68249500726413,9.00914895647214,0,0,1"
"12,""Bufotes siculus"",""Other"",2.81087288880752,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""1"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Bufonidae"",""Bufotes"",4.20222340423258,8.65919135503432,8.98695352283829,0,0,1"
"13,""Bufotes variabilis"",""Other"",2.81507472114689,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""1"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Bufonidae"",""Bufotes"",4.2150679621255,8.68249500726413,9.00914895647214,0,0,1"
"14,""Bufotes viridis"",""Other"",2.75490163564099,""1"",""1"",""1"",""1"",""1"",""0"",""0"",""1"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Bufonidae"",""Bufotes"",4.31748811353631,8.60863225173302,9.82024180393286,0,0,1"
"15,""Calotriton arnoldi"",""Nocturnal"",0.693147180559945,""1"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Calotriton"",2.59698852640595,8.78658316003164,2.99573227355399,0,0,1"
"16,""Calotriton asper"",""Nocturnal"",1.94591014905531,""1"",""0"",""0"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Calotriton"",1.96009478404727,9.15867858865229,3.2188758248682,0,0,1"
"17,""Chioglossa lusitanica"",""Nocturnal"",1.94591014905531,""1"",""0"",""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Chioglossa"",1.43508452528932,7.98002359231065,2.99573227355399,0,0,1"
"18,""Discoglossus galganoi"",""Other"",2.30258509299405,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Alytidae"",""Discoglossus"",3.08190996979504,8.09780662796703,6.80239476332431,0,0,1"
"19,""Discoglossus jeanneae"",""Other"",2.07944154167984,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Alytidae"",""Discoglossus"",3.60006047036116,8.17520138847638,7.3132203870903,0,0,1"
"20,""Discoglossus montalentii"",""Other"",1.09861228866811,""1"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Anura"",""Alytidae"",""Discoglossus"",2.91213348264755,8.22170044715184,6.90775527898214,0,0,1"
"21,""Discoglossus pictus"",""Other"",2.56494935746154,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Alytidae"",""Discoglossus"",3.09331260189286,8.2363327023019,6.62671774924902,0,0,1"
"22,""Discoglossus sardus"",""Other"",1.6094379124341,""1"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Anura"",""Alytidae"",""Discoglossus"",2.84508016104124,8.222642375285,6.90775527898214,0,0,1"
"23,""Epidalea calamita"",""Nocturnal"",2.77258872223978,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""1"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Bufonidae"",""Epidalea"",4.13836144763888,8.73379539468703,8.14612951002541,0,0,1"
"24,""Euproctus montanus"",""Nocturnal"",1.6094379124341,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Euproctus"",0.916290731874155,8.5288077742138,4.0943445622221,0,0,1"
"25,""Euproctus platycephalus"",""Other"",2.30258509299405,""1"",""0"",""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Euproctus"",1.62924053973028,8.6796275614461,5.39362754635236,0,0,1"
"26,""Hyla arborea"",""Other"",3.33579330085068,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""1"",""0"",""0"",""1"",""1"",""Amphibia"",""Anura"",""Hylidae"",""Hyla"",2.75838050574942,8.77256279127797,7.16048574125056,0,0,1"
"27,""Hyla intermedia"",""Other"",1.94591014905531,""1"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Hylidae"",""Hyla"",1.83577635464483,8.2612657766958,7.24422751560335,0,0,1"
"28,""Hyla meridionalis"",""Nocturnal"",2.19722457733622,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""Amphibia"",""Anura"",""Hylidae"",""Hyla"",1.13462272619114,8.41648248263645,6.80239476332431,0,1,0"
"29,""Hyla sarda"",""Other"",1.94591014905531,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Hylidae"",""Hyla"",1.38629436111989,7.51001996306491,6.4377516497364,0,0,1"
"30,""Hyla savignyi"",""Other"",3.55534806148941,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""1"",""0"",""0"",""1"",""1"",""Amphibia"",""Anura"",""Hylidae"",""Hyla"",2.2512917986065,8.99162450398912,6.74523634948436,0,0,1"
"31,""Ichthyosaura alpestris"",""Other"",2.70805020110221,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Ichthyosaura"",1.3609765531356,8.8963143241848,4.87900685161782,0,0,1"
"32,""Lissotriton boscai"",""Nocturnal"",2.70805020110221,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""1"",""Amphibia"",""Caudata"",""Salamandridae"",""Lissotriton"",0.570979546585738,7.98002359231065,5.52146091786225,0,1,0"
"33,""Lissotriton helveticus"",""Nocturnal"",2.89037175789616,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Lissotriton"",0.587786664902119,8.29847732342918,6.13122648948314,0,0,1"
"34,""Lissotriton italicus"",""Nocturnal"",2.56494935746154,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Lissotriton"",-0.0202027073175195,8.47392898836493,5.99146454710798,0,0,1"
"35,""Lissotriton montandoni"",""Other"",2.19722457733622,""1"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Lissotriton"",0.955511445027436,8.53993298793276,5.52146091786225,0,0,1"
"36,""Lissotriton vulgaris"",""Nocturnal"",2.5727155206437,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Lissotriton"",1.1314021114911,8.8963143241848,5.7037824746562,0,0,1"
"37,""Lyciasalamandra antalyana"",""Nocturnal"",1.09861228866811,""1"",""0"",""1"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Lyciasalamandra"",2.71807951673479,8.4801987445778,5.46073853928365,0,0,1"
"38,""Lyciasalamandra atifi"",""Nocturnal"",0.693147180559945,""1"",""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Lyciasalamandra"",2.69148068167562,8.58667874151715,5.40749096973528,0,0,1"
"39,""Lyciasalamandra billae"",""Nocturnal"",2.25994969930656,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Lyciasalamandra"",2.67559429154755,8.50552208505908,6.12981477906462,0,0,1"
"40,""Lyciasalamandra fazilae"",""Nocturnal"",0.693147180559945,""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Lyciasalamandra"",2.72547178244936,8.49703608184809,5.45672424002477,0,0,1"
"41,""Lyciasalamandra flavimembris"",""Nocturnal"",0.693147180559945,""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Lyciasalamandra"",2.74507705651703,8.49993882409539,5.50098699672734,0,0,1"
"42,""Lyciasalamandra helverseni"",""Nocturnal"",0.693147180559945,""0"",""0"",""1"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Lyciasalamandra"",3.19002206336035,8.50419086313469,6.00881006084635,0,0,1"
"43,""Lyciasalamandra luschani"",""Nocturnal"",0.693147180559945,""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Lyciasalamandra"",2.05412373369555,8.20316714362485,0.693147180559945,0,0,1"
"44,""Mertensiella caucasica"",""Other"",0.693147180559945,""1"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Mertensiella"",2.28238238567653,9.15867858865229,6.06003991968969,0,0,1"
"45,""Neurergus crocatus"",""Other"",2.28691413287952,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Neurergus"",3.08754818747176,8.68408274633634,6.54787993310169,0,0,1"
"46,""Neurergus strauchii"",""Other"",0,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Neurergus"",4.5992697554921,8.73155058005618,7.77881939968295,0,0,1"
"47,""Ommatotriton ophryticus"",""Other"",2.83321334405622,""1"",""0"",""0"",""1"",""1"",""0"",""1"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Ommatotriton"",2.65196466250613,8.67317077287059,6.57199022141753,0,0,1"
"48,""Ommatotriton vittatus"",""Other"",2.83321334405622,""1"",""0"",""0"",""1"",""1"",""0"",""1"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Ommatotriton"",2.09186406167839,8.67317077287059,6.56978318063045,0,0,1"
"49,""Pelobates cultripes"",""Nocturnal"",1.94591014905531,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""1"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Pelobatidae"",""Pelobates"",3.68887945411394,8.60863225173302,7.82404601085629,0,0,1"
"50,""Pelobates fuscus"",""Nocturnal"",2.83321334405622,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Pelobatidae"",""Pelobates"",3.38099467434464,8.29847732342918,7.397101871071,0,0,1"
"51,""Pelobates syriacus"",""Other"",2.70805020110221,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""1"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Pelobatidae"",""Pelobates"",3.95816274422151,8.57929085695344,8.61250337122056,0,0,1"
"52,""Pelodytes caucasicus"",""Nocturnal"",1.94591014905531,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Anura"",""Pelodytidae"",""Pelodytes"",2.04795216457731,8.09780662796703,6.0282785202307,0,0,1"
"53,""Pelodytes ibericus"",""Other"",2.39789527279837,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Pelodytidae"",""Pelodytes"",1.5830939370945,8.16924145372681,5.41052935715496,0,0,1"
"54,""Pelodytes punctatus"",""Nocturnal"",1.38629436111989,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Anura"",""Pelodytidae"",""Pelodytes"",1.10856261952128,8.20316714362485,6.72743172485086,0,0,1"
"55,""Pelophylax bedriagae"",""Other"",3.09104245335832,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Ranidae"",""Pelophylax"",4.33003902035466,8.30320202596596,9.25913053614561,0,0,1"
"56,""Pelophylax bergeri"",""Nocturnal"",1.94591014905531,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Anura"",""Ranidae"",""Pelophylax"",4.02746211528306,8.15654712298963,8.00636756765025,0,0,1"
"57,""Pelophylax caralitanus"",""Other"",2.94443897916644,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Ranidae"",""Pelophylax"",4.90527477843843,8.20316714362485,8.91862832340125,0,0,1"
"58,""Pelophylax cerigensis"",""Other"",2.19722457733622,""0"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Ranidae"",""Pelophylax"",4.37950588883337,8.12438544609927,9.61580548008435,0,0,1"
"59,""Pelophylax cretensis"",""Other"",2.19722457733622,""0"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Ranidae"",""Pelophylax"",4.40182534039374,8.16495458877584,9.61580548008435,0,0,1"
"60,""Pelophylax epeiroticus"",""Other"",1.79175946922805,""0"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Ranidae"",""Pelophylax"",4.07787636951479,7.51001996306491,7.85360481309784,0,0,1"
"61,""Pelophylax kurtmuelleri"",""Other"",2.56494935746154,""0"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Ranidae"",""Pelophylax"",4.19763162977132,8.26707265195209,9.21034037197618,0,0,1"
"62,""Pelophylax lessonae"",""Other"",3.13549421592915,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""1"",""Amphibia"",""Anura"",""Ranidae"",""Pelophylax"",4.32280727501391,8.20316714362485,8.00636756765025,0,0,1"
"63,""Pelophylax perezi"",""Other"",2.484906649788,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Ranidae"",""Pelophylax"",3.45946628978613,7.81750466281287,9.21034037197618,0,0,1"
"64,""Pelophylax ridibundus"",""Other"",3.55534806148941,""1"",""0"",""1"",""1"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""Amphibia"",""Anura"",""Ranidae"",""Pelophylax"",4.32280727501391,8.38548870041881,8.29841509761167,0,0,1"
"65,""Pelophylax shqipericus"",""Other"",1.38629436111989,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Anura"",""Ranidae"",""Pelophylax"",3.71750002162135,8.11543126182074,7.78113850984502,0,0,1"
"66,""Pleurodeles waltl"",""Nocturnal"",2.19722457733622,""0"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Pleurodeles"",3.25037449192757,8.87099651620051,6.65286302935335,0,0,1"
"67,""Proteus anguinus"",""Other"",0.693147180559945,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Caudata"",""Proteidae"",""Proteus"",2.83321334405622,8.38548870041881,4.24849524204936,0,0,1"
"68,""Rana arvalis"",""Other"",3.43398720448515,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""1"",""Amphibia"",""Anura"",""Ranidae"",""Rana"",2.37954613413017,8.29847732342918,7.67310683529101,0,0,1"
"69,""Rana dalmatina"",""Other"",1.94591014905531,""1"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Ranidae"",""Rana"",3.4626060097908,7.98002359231065,7.10414409298753,0,0,1"
"70,""Rana graeca"",""Other"",1.79175946922805,""1"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Ranidae"",""Rana"",3.06525889146186,8.21245567014453,6.93244789157251,0,0,1"
"71,""Rana iberica"",""Other"",1.09861228866811,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Anura"",""Ranidae"",""Rana"",2.36085400111802,7.98002359231065,5.95129338241871,0,0,1"
"72,""Rana italica"",""Other"",1.6094379124341,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Anura"",""Ranidae"",""Rana"",3.12385274099075,8.18773478610635,7.60090245954208,0,0,1"
"73,""Rana latastei"",""Other"",2.30258509299405,""1"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Ranidae"",""Rana"",2.92852352386054,7.2868764117507,6.08107670579767,0,0,1"
"74,""Rana macrocnemis"",""Other"",3.09104245335832,""1"",""0"",""1"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""1"",""1"",""Amphibia"",""Anura"",""Ranidae"",""Rana"",2.42480272571829,8.25195730779429,7.62070508683826,0,0,1"
"75,""Rana pyrenaica"",""Other"",0.693147180559945,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Anura"",""Ranidae"",""Rana"",2.75280903039487,8.23982313907565,5.01063529409626,0,0,1"
"76,""Rana tavasensis"",""Other"",1.09861228866811,""1"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Anura"",""Ranidae"",""Rana"",2.94415635777914,8.18745955493311,7.10435601018273,0,0,1"
"77,""Rana temporaria"",""Other"",3.43398720448515,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""1"",""Amphibia"",""Anura"",""Ranidae"",""Rana"",3.86283276123737,9.19641891663514,7.76588709668276,0,0,1"
"78,""Salamandra atra"",""Nocturnal"",1.09861228866811,""1"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Salamandra"",2.10413415427021,8.73379539468703,3.41772668361337,0,0,1"
"79,""Salamandra corsica"",""Nocturnal"",1.94591014905531,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Salamandra"",3.88929500339271,8.89463599349852,7.16019472851024,0,0,1"
"80,""Salamandra infraimmaculata"",""Nocturnal"",1.09861228866811,""0"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Salamandra"",4.8283137373023,9.03607626655996,7.60896853555348,0,0,1"
"81,""Salamandra lanzai"",""Other"",1.09861228866811,""1"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Salamandra"",2.96010509591084,9.03607626655996,1.25276296849537,0,0,1"
"82,""Salamandra salamandra"",""Other"",2.39789527279837,""1"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Salamandra"",3.57794789340665,9.07863588097876,3.43398720448515,0,0,1"
"83,""Salamandrella keyserlingii"",""Other"",3.3322045101752,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""1"",""Amphibia"",""Caudata"",""Hynobiidae"",""Salamandrella"",1.93152141160321,8.20316714362485,4.24849524204936,0,0,1"
"84,""Salamandrina perspicillata"",""Other"",1.6094379124341,""1"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Salamandrina"",2.82875333276167,8.38548870041881,3.80666248977032,0,0,1"
"85,""Salamandrina terdigitata"",""Other"",1.6094379124341,""1"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Salamandrina"",2.76140129041311,8.54176410554474,3.41772668361337,0,0,1"
"86,""Speleomantes ambrosii"",""Other"",1.38629436111989,""1"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Plethodontidae"",""Speleomantes"",0.815364813284194,8.39626377358677,2.30258509299405,0,0,1"
"87,""Speleomantes flavus"",""Other"",1.38629436111989,""1"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Plethodontidae"",""Speleomantes"",1.66724710941825,8.44226278115299,2.30258509299405,0,0,1"
"88,""Speleomantes genei"",""Other"",1.38510322802584,""1"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Plethodontidae"",""Speleomantes"",1.36609165380237,8.41617954773961,2.30258509299405,0,0,1"
"89,""Speleomantes imperialis"",""Other"",1.38629436111989,""1"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Plethodontidae"",""Speleomantes"",1.36609165380237,8.4142381137048,2.30258509299405,0,0,1"
"90,""Speleomantes italicus"",""Other"",1.38629436111989,""1"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Plethodontidae"",""Speleomantes"",1.05779029414785,8.26143605174883,2.30258509299405,0,0,1"
"91,""Speleomantes sarrabusensis"",""Other"",1.38629436111989,""1"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Plethodontidae"",""Speleomantes"",1.37820777536889,8.40447400032989,2.30258509299405,0,0,1"
"92,""Speleomantes strinatii"",""Other"",1.38629436111989,""1"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Plethodontidae"",""Speleomantes"",1.46789372371011,8.41553282176719,5.42648867301496,0,0,1"
"93,""Speleomantes supramontis"",""Other"",1.38629436111989,""1"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""Amphibia"",""Caudata"",""Plethodontidae"",""Speleomantes"",1.62531126159039,8.38473841902811,2.30258509299405,0,0,1"
"94,""Triturus carnifex"",""Nocturnal"",2.63905732961526,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Triturus"",2.91235066461494,8.29847732342918,5.99146454710798,0,0,1"
"95,""Triturus cristatus"",""Other"",2.70805020110221,""1"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""1"",""Amphibia"",""Caudata"",""Salamandridae"",""Triturus"",2.70805020110221,9.23278656080601,5.81413053182507,0,0,1"
"96,""Triturus dobrogicus"",""Nocturnal"",2.77258872223978,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Caudata"",""Salamandridae"",""Triturus"",2.24070968927596,8.09780662796703,5.52146091786225,0,0,1"
